ID,Name,Model,Manufacturer,Type,Max Power,Modular,Energy Rating,Class
P1,EVGA 450,100-BR-0450-K1,EVGA,ATX12V / EPS12V,450,No,3,ENTRY
P2,CORSAIR CX-M Series CX450M,CP-9020101-NA,CORSAIR,ATX12V / EPS12V,450,Semi,3,ENTRY
P3,CORSAIR SF Series SF450,SF450,CORSAIR,ATX12V / EPS12V,450,Full,4,ENTRY
P4,Cooler Master MWE 450 W,MPE-4501-ACAAW-US,Cooler Master,ATX 12V,450,No,2,ENTRY
P5,GIGABYTE GP-P450B,GP-P450B,GIGABYTE,ATX 12V,450,No,3,ENTRY
P6,Cooler Master Elite V3 400W,MPW-4001-ACAAN1-US,Cooler Master,ATX 12V,400,No,1,ENTRY
P7,EVGA 550 B5,220-B5-0550-V1,EVGA,ATX12V / EPS12V,550,Full,3,ENTRY
P8,Seasonic PRIME FANLESS PX-500,SSR-500PL,SeaSonic,ATX 12V,500,Full,5,ENTRY
P9,CORSAIR CV Series CV550,CP-9020210-NA,CORSAIR,ATX 12V,550,No,3,ENTRY
P10,Cooler Master V550 Gold White 550W,MPY-550V-AGBAG-US,Cooler Master,ATX 12V,550,Full,4,ENTRY
P11,GIGABYTE GP-P550B 550W,GP-P550B,GIGABYTE,ATX 12V,550,No,3,ENTRY
P12,Cooler Master MWE 500,MPX-5001-ACAAB-US,Cooler Master,ATX 12V,500,No,3,ENTRY
P13,EVGA 600 BR,100-BR-0600-K1,EVGA,ATX12V / EPS12V,600,No,3,MID
P14,Seasonic FOCUS SGX-650,SSR-650SGX,SeaSonic,SFX 12 V / ATX 12 V,650,Full,4,MID
P15,CORSAIR CX Series CX650,CP-9020122-NA,CORSAIR,ATX12V / EPS12V,650,No,3,MID
P16,GIGABYTE P650B GP-P650B 650W,GP-P650B,GIGABYTE,ATX 12V,650,No,3,MID
P17,Cooler Master Master Watt 650W,MPX-6501-AMAAB-US,Cooler Master,ATX 12V,650,Semi,3,MID
P18,Cooler Master MWE 600,MPX-6001-ACAAB-US,Cooler,ATX 12V,600,No,3,MID
P19,CORSAIR RMx Series RM750x,CP-9020179-NA,CORSAIR,ATX12V / EPS12V,750,Full,4,MID
P20,EVGA SuperNOVA 750 G3,220-G3-0750-X1,EVGA,ATX12V / EPS12V,750,Full,4,MID
P21,Seasonic FOCUS GX-750,SSR-750FX,SeaSonic,ATX 12V,750,Full,4,MID
P22,GIGABYTE GP-P750GM 750W,GP-P750GM,GIGABYTE,ATX 12V,750,Full,4,MID
P23,Cooler Master Master Watt 750,MPX-7501-AMAAB-US,Cooler Master,ATX 12V,750,Semi,3,MID
P24,Cooler Master MWE Gold 750,MPY-7501-AFAAG-US,Cooler Master,ATX 12V,750,Full,4,MID
P25,CORSAIR RMx Series RM850x,CP-9020180-NA,CORSAIR,ATX12V / EPS12V,850,Full,4,PRO
P26,Seasonic PRIME GX-850,SSR-850GD,SeaSonic,ATX12V / EPS12V,850,Full,4,PRO
P27,EVGA SuperNOVA 850 G+,120-GP-0850-X1,EVGA,ATX12V / EPS12V,850,Full,4,PRO
P28,GIGABYTE GP-P850GM 850W,GP-P850GM,GIGABYTE,ATX 12V,850,Full,4,PRO
P29,Cooler Master MWE Gold 850,MPE-8501-AFAAG-US,Cooler Master,ATX 12V,850,Full,4,PRO
P30,Cooler Master V850 Gold V2,MPY-850V-AFBAG-US,Cooler Master,ATX 12V,850,Full,4,PRO
