,ID,Name,Manufacturer,Microarchitecture,Core Family,Core Count,No of Threads,Multithreading,Core Clock,Boost Clock,TDP,Socket,Integrated Graphics,Lithography,Class
50,C51,Core i7-10700K,Intel,4,Comet Lake,8,16,YES,3.8,5.1,125,LGA 1200,Intel UHD Graphics 630,14,PRO
51,C52,Core i7-10700KF,Intel,4,Comet Lake,8,16,YES,3.8,5.1,125,LGA 1200,No,14,PRO
52,C53,Core i7-10700,Intel,4,Comet Lake,8,16,YES,2.9,4.8,65,LGA 1200,Intel UHD Graphics 630,14,PRO
53,C54,Core i7-10700F,Intel,4,Comet Lake,8,16,YES,2.9,4.8,65,LGA 1200,No,14,PRO
54,C55,Core i5-10600K,Intel,4,Comet Lake,6,12,YES,4.1,4.8,125,LGA 1200,Intel UHD Graphics 630,14,PRO
55,C56,Core i5-10600KF,Intel,4,Comet Lake,6,12,YES,4.1,4.8,125,LGA 1200,No,14,MID
56,C57,Core i5-10600,Intel,4,Comet Lake,6,12,YES,3.3,4.8,65,LGA 1200,Intel UHD Graphics 630,14,MID
57,C58,Core i5-10500,Intel,4,Comet Lake,6,12,YES,3.1,4.5,65,LGA 1200,Intel UHD Graphics 630,14,MID
58,C59,Core i5-10400,Intel,4,Comet Lake,6,12,YES,2.9,4.3,65,LGA 1200,Intel UHD Graphics 630,14,MID
59,C60,Core i5-10400F,Intel,4,Comet Lake,6,12,YES,2.9,4.3,65,LGA 1200,No,14,MID
60,C61,Core i3-10320,Intel,4,Comet Lake,4,8,YES,3.8,4.6,65,LGA 1200,Intel UHD Graphics 630,14,ENTRY
61,C62,Core i3-10300,Intel,4,Comet Lake,4,8,YES,3.7,4.4,65,LGA 1200,Intel UHD Graphics 630,14,ENTRY
62,C63,Core i3-10100,Intel,4,Comet Lake,4,8,YES,3.6,4.3,65,LGA 1200,Intel UHD Graphics 630,14,ENTRY
63,C64,Core i3-10100F,Intel,4,Comet Lake,4,8,YES,3.6,4.3,65,LGA 1200,No,14,ENTRY
64,C65,Core i9-9900KS,Intel,3,Coffee Lake Refresh,8,16,YES,4.0,5.0,127,LGA 1151,Intel UHD Graphics 630,14,PRO
65,C66,Core i9-9900K,Intel,3,Coffee Lake Refresh,8,16,YES,3.6,5.0,95,LGA 1151,Intel UHD Graphics 630,14,PRO
66,C67,Core i9-9900,Intel,3,Coffee Lake Refresh,8,16,YES,3.1,5.0,65,LGA 1151,Intel UHD Graphics 630,14,PRO
67,C68,Core i9-9900KF,Intel,3,Coffee Lake Refresh,8,16,YES,3.6,5.0,95,LGA 1151,No,14,PRO
68,C69,Core i7-9700K,Intel,3,Coffee Lake Refresh,8,8,NO,3.6,4.9,95,LGA 1151,Intel UHD Graphics 630,14,PRO
69,C70,Core i7-9700,Intel,3,Coffee Lake Refresh,8,8,NO,3.0,4.7,65,LGA 1151,Intel UHD Graphics 630,14,PRO
70,C71,Core i7-9700F,Intel,3,Coffee Lake Refresh,8,8,NO,3.0,4.7,65,LGA 1151,No,14,PRO
71,C72,Core i7-9700KF,Intel,3,Coffee Lake Refresh,8,8,NO,3.6,4.9,95,LGA 1151,No,14,PRO
72,C73,Core i5-9600K,Intel,3,Coffee Lake Refresh,6,6,NO,3.7,4.6,95,LGA 1151,Intel UHD Graphics 630,14,MID
73,C74,Core i5-9600KF,Intel,3,Coffee Lake Refresh,6,6,NO,3.7,4.6,95,LGA 1151,No,14,MID
74,C75,Core i5-9600,Intel,3,Coffee Lake Refresh,6,6,NO,3.1,4.6,65,LGA 1151,Intel UHD Graphics 630,14,MID
75,C76,Core i5-9500,Intel,3,Coffee Lake Refresh,6,6,NO,3.0,4.4,65,LGA 1151,Intel UHD Graphics 630,14,MID
76,C77,Core i5-9500F,Intel,3,Coffee Lake Refresh,6,6,NO,3.0,4.4,65,LGA 1151,No,14,MID
77,C78,Core i5-9400,Intel,3,Coffee Lake Refresh,6,6,NO,2.9,4.1,65,LGA 1151,Intel UHD Graphics 630,14,MID
78,C79,Core i5-9400F,Intel,3,Coffee Lake Refresh,6,6,NO,2.9,4.1,65,LGA 1151,No,14,MID
